Timestamp_ms,Measured_Distance_m,X,Y
1771415403042,1.931848405429408,-1.1617447300716461,1.5434984430542533
1771415403049,1.9234521600246979,-1.1488390611523793,1.5426720401544185
1771415403056,1.9375222034061392,-1.1411028721840661,1.5658469030480138
1771415403063,1.9160675510320817,-1.193039284588948,1.4993238894733751
1771415403071,1.9202687980775377,-1.1819911404549286,1.513383362124815
1771415403079,1.912649149445203,-1.1196656628922697,1.5506693948786996
1771415403087,1.9083776632880445,-1.1285579347390746,1.5389159475664067
1771415403095,1.9465289149401357,-1.1872098901216395,1.5425652315203355
1771415403102,1.9148859194198873,-1.129739557416621,1.5461166245793505
1771415403108,1.9119900993645915,-1.0894939848468312,1.5712125881149226
1771415403115,1.9181821785016722,-1.1326628935865923,1.5480625437667137
1771415403123,1.9083592160942644,-1.0930875762482128,1.5642872013488198
1771415403130,1.924637471501666,-1.0981683694861697,1.5805871152734399
1771415403138,1.9239714386379985,-1.1436591247122398,1.547161886538446
1771415403145,1.9522806141735694,-1.1197149326697684,1.5992617253077326
1771415403152,1.9376240491191719,-1.0947887444861404,1.598694642723067
1771415403159,1.8986202178204787,-1.1317565550316142,1.5244296742256283
1771415403166,1.8986694372693727,-1.0131315412973743,1.6057739915844955
1771415403179,1.8858454223645829,-1.0837966609414196,1.5433074077401694
1771415403194,1.9033852083458023,-1.0711455141684603,1.5733793372312914
1771415403203,1.9264991610494546,-1.1131681527737227,1.5723408285656741
1771415403212,1.875871708710461,-1.0103842821397526,1.5805120277762021
1771415403219,1.956121035467394,-1.18608078727776,1.5555133787430433
1771415403226,1.929755733908946,-1.149830390939248,1.5497894258985478
1771415403234,1.9584279820698922,-1.2002556182138813,1.5475227338880564
1771415403240,1.9454592942492808,-1.1592192227855271,1.56237724609181
1771415403247,1.9203365318024048,-1.1847390099326798,1.5113192494369356
1771415403253,1.937106269455014,-1.1782503259786328,1.53756524040223
1771415403262,1.9397863927774772,-1.1113671581491367,1.5898535433781844
1771415403269,1.9240141834389806,-1.1429089356021682,1.5477692796392768
1771415403276,1.9368442442846172,-1.1026328651074238,1.5923461908151266
1771415403284,1.905880066760279,-1.1609076693080729,1.511513219332158
1771415403291,1.9260419009675154,-1.1561411609064585,1.5404463704850055
1771415403297,1.9456834251254198,-1.1971493328399616,1.5337918586589967
1771415403305,1.9229666942448294,-1.1910941745049304,1.5096673721834575
1771415403313,1.9323908239462055,-1.0756975258171206,1.6053065530989465
1771415403321,1.9394615190602205,-1.1549710721266535,1.558060591397519
1771415403328,1.9442991773678269,-1.1763601185184742,1.5480556070995672
1771415403335,1.9279217262787853,-1.1705907432203626,1.531861447567818
1771415403342,1.913761273163186,-1.1836514436128531,1.503812312322381
1771415403348,1.9274394493889855,-1.1397154596429053,1.5543717387137084
1771415403355,1.9406312050232677,-1.1372415432993284,1.572492017818921
1771415403361,1.9186145070067784,-1.1642225986230568,1.5250138908718962
1771415403369,1.9249382470564662,-1.1683576675349108,1.529812934869229
1771415403376,1.946708006714724,-1.221809458294311,1.515537433067813
1771415403384,1.9403319845336782,-1.1818506682795575,1.5388688079532853
1771415403392,1.9734206789990556,-1.2144138065082677,1.555502582081815
1771415403399,1.9224254300316783,-1.1974495360627138,1.5039395408777825
1771415403406,1.9418277219442217,-1.2374131241285924,1.4964971306171633
1771415403413,1.9245021364316663,-1.2113227873841503,1.4954616604560413
1771415403419,1.95156963908004,-1.2031094764984995,1.53660393196767
1771415403426,1.9445264354919363,-1.170075636174451,1.5530956390248247
1771415403433,1.9280930780356103,-1.208723790248307,1.5021749952840384
1771415403440,1.9275597733242522,-1.2147382602091434,1.496628757882831
1771415403448,1.9314308421628037,-1.0539499945480866,1.6185223220733798
1771415403455,1.9234622354011413,-1.1819440620410984,1.517470001423469
1771415403462,1.9130609680039878,-1.0766218623089032,1.5813562637492111
1771415403470,1.9479003090606608,-1.1302782670701437,1.5864383546257104
1771415403477,1.9291469177385978,-1.2330995887485328,1.4836014405656701
1771415403484,1.9500374538131628,-1.1874529659564024,1.5468036478220066
1771415403491,1.9314181973595603,-1.1710479408835572,1.5359111215314623
1771415403498,1.9248862530819684,-1.205528039556905,1.5006296122448153
1771415403505,1.9280818568413067,-1.1690687174628922,1.5332246999478876
1771415403513,1.93137362801653,-1.1726505399064444,1.5346318132551722
1771415403521,1.9313391783633729,-1.1722242489002965,1.534914112310993
1771415403528,1.9312385479200778,-1.2049090112333813,1.5092635964671797
1771415403535,1.910298486823836,-1.1101307206632625,1.5546221701111507
1771415403543,1.9208913287715865,-1.1009216175533738,1.5741013591740318
1771415403550,1.9274605116743044,-1.1011739057552432,1.581935540199889
1771415403557,1.9264991610494546,-1.1131681527737227,1.5723408285656741
1771415403564,1.9499175273918055,-1.1438989552364782,1.5791369617099922
1771415403571,1.9186748989937163,-1.1593424696470809,1.5288029323955246
1771415403578,1.9395874465029188,-1.186779222735643,1.534129896428166
1771415403586,1.9274605116743044,-1.1011739057552432,1.581935540199889
1771415403594,1.9413633971461766,-1.2061426058464724,1.5212205146331759
1771415403600,1.9414461830479042,-1.1686277344924885,1.5503298035728494
1771415403607,1.9341466821906161,-1.1782182845872047,1.5338595314087118
1771415403617,1.9202687980775377,-1.1819911404549286,1.513383362124815
1771415403624,1.9465289149401357,-1.1872098901216395,1.5425652315203355
1771415403633,1.9234622354011413,-1.1819440620410984,1.517470001423469
1771415403640,1.9549661912798626,-1.203746792938909,1.5404176276375778
1771415403648,1.9390305087994968,-1.2291932382068136,1.4996410561203914
1771415403655,1.9332111681967734,-1.1871372166822147,1.5257819797103183
1771415403661,1.9554013785388962,-1.1195394954531752,1.603192399343343
1771415403670,1.951456924930593,-1.2444248691133282,1.503193558724838
1771415403678,1.9466590256357577,-1.186486932580767,1.5432854955918687
1771415403686,1.9234521600246979,-1.1488390611523793,1.5426720401544185
1771415403693,1.936002915075818,-1.190906501390794,1.5263842871725337
1771415403700,1.934334492776685,-1.1696124017429173,1.5406676343828347
1771415403708,1.9249382470564662,-1.1683576675349108,1.529812934869229
1771415403715,1.9268183671896584,-1.1423369424825676,1.5516750078476487
1771415403722,1.9235041170835785,-1.1487300938980112,1.5428179606844559
1771415403729,1.9202687980775377,-1.1819911404549286,1.513383362124815
1771415403737,1.9352121088686804,-1.1639522841294252,1.5460468901627336
1771415403747,1.9505683345409124,-1.1778322391285962,1.5548080409436487
1771415403754,1.9161748540744679,-1.1520018283589095,1.5312145045175864
1771415403761,1.9505683345409124,-1.1778322391285962,1.5548080409436487
1771415403768,1.9172725948257903,-1.1798543117226257,1.511250477577939
1771415403779,1.9080094730697787,-1.1329682569509556,1.5352143427109872
1771415403785,1.9232836259565949,-1.1472639427217255,1.5436338139608592
1771415403792,1.923114010337052,-1.1898055573654922,1.5108706868613373
1771415403799,1.9356862165468744,-1.0819670069947025,1.6050634020824468
1771415403806,1.9304260819958978,-1.1038841965328394,1.5836617500890398
1771415403814,1.9040500526419073,-1.1421448819504878,1.5234538626423697
1771415403820,1.9411904744511685,-1.0918696156419914,1.6050050468885646
1771415403828,1.9161826593124338,-1.1956254053641138,1.497409721451537
1771415403834,1.9317158843766296,-1.199569188781981,1.5141202129546794
1771415403842,1.942941691912266,-1.1881699328687023,1.5372945810083642
1771415403850,1.9314181973595603,-1.1710479408835572,1.5359111215314623
1771415403858,1.9386830991659996,-1.1598529322169588,1.5534585075307312
1771415403864,1.9269891284098508,-1.1403133267349075,1.5533745903292369
1771415403871,1.908474481387595,-1.1274651900039976,1.5398367093419025
1771415403878,1.9392497768525843,-1.194759990305913,1.5274941121284273
1771415403885,1.9359156407098417,-1.154928032141544,1.553676481291603
1771415403892,1.9330833893574149,-1.1541986100715131,1.5506891883025875
1771415403899,1.9324327454743004,-1.1553613458740468,1.5490114512944873
1771415403910,1.9239019027986546,-1.1761222325828988,1.5225422902555126
1771415403917,1.9421209898574725,-1.1935162968922013,1.5321073031278507
1771415403928,1.9350938050861197,-1.1649521277016979,1.5451454865629852
1771415403935,1.9439413469005478,-1.1764310646309102,1.5475522318684105
1771415403942,1.9676988441930197,-1.2485727995446863,1.520823693159628
1771415403952,1.9340658522764256,-1.2526910390494117,1.4735589169174885
1771415403959,1.9445264354919363,-1.170075636174451,1.5530956390248247
1771415403965,1.9549907449930652,-1.1625236514928465,1.5717911988328093
1771415403972,1.9421209898574725,-1.1935162968922013,1.5321073031278507
1771415403982,1.9216639329751168,-1.1660168375228637,1.5274806073762686
1771415403989,1.936809396010916,-1.1825207283174037,1.5339085251656457
1771415403997,1.9335231925552216,-1.1833892682998026,1.5290852742152068
1771415404005,1.9458685506402114,-1.154196941244638,1.5665994501442155
1771415404012,1.94819798022219,-1.1677479958670816,1.5594357916535824
1771415404020,1.9525131744195758,-1.2286124847456408,1.5175042202936873
1771415404028,1.9633249616038837,-1.1452649001696569,1.594682793942506
1771415404037,1.9253015683017245,-1.2003196539216985,1.5053301489422093
1771415404043,1.945346140015812,-1.159925540428206,1.5617119917375142
1771415404050,1.955220205802868,-1.1595797503391245,1.5742492991210963
1771415404056,1.9486490132917786,-1.2362900097334404,1.5062602659687707
1771415404065,1.9321350380203446,-1.195584116652625,1.5178024987309253
1771415404072,1.956984304486567,-1.176079493450822,1.5641689784327106
1771415404080,1.927431076410787,-1.2120366460935432,1.4986519685505237
1771415404087,1.9330833893574149,-1.1541986100715131,1.5506891883025875
1771415404097,1.9304260819958978,-1.1038841965328394,1.5836617500890398
1771415404104,1.9269891284098508,-1.1403133267349075,1.5533745903292369
1771415404111,1.934334492776685,-1.1696124017429173,1.5406676343828347
1771415404119,1.9379452570608013,-1.2451289735326367,1.4850204236420512
1771415404126,1.924550893965678,-1.173155096536991,1.5256484729233577
1771415404133,1.9364095607517553,-1.1868762508186497,1.53003488594655
1771415404140,1.9121322959852494,-1.1275939801271175,1.5442738530878863
1771415404147,1.9279217262787853,-1.1705907432203626,1.531861447567818
1771415404154,1.931848405429408,-1.1617447300716461,1.5434984430542533
1771415404161,1.9364040017525428,-1.1905486690353464,1.5271720023171675
1771415404168,1.9123578795563838,-1.159431412620036,1.5207996116948794
1771415404175,1.9290043609802554,-1.1210612349320503,1.5698023863574262
1771415404181,1.9106294315432413,-1.1788445837178305,1.5036057568785721
1771415404189,1.919055533688913,-1.1220217898009637,1.5568690518453634
1771415404196,1.9420602921072467,-1.120117786310527,1.5864848952859556
1771415404203,1.929705452685319,-1.1496392468365393,1.549868619030841
1771415404210,1.923965031345752,-1.2153715095321331,1.4914803168861615
1771415404217,1.9173153849993412,-1.0603490871704848,1.597422329533393
1771415404224,1.9413330344692126,-1.2425691670850447,1.4915749447248767
1771415404232,1.9288310555802288,-1.196871003896949,1.5125769537453126
1771415404239,1.9606438218708373,-1.1750924911972886,1.569484575703767
1771415404246,1.9479003090606608,-1.1302782670701437,1.5864383546257104
1771415404254,1.9563942364224258,-1.1870998775272483,1.5550795121413177
1771415404262,1.9391105906573782,-1.1594584893735678,1.5542862973786942
1771415404270,1.9403319845336782,-1.1818506682795575,1.5388688079532853
1771415404277,1.9293717037211333,-1.1184209315711324,1.5721354238561476
1771415404285,1.9361899109592655,-1.110928857170812,1.5857706156962306
1771415404294,1.9268183671896584,-1.1423369424825676,1.5516750078476487
1771415404301,1.915242177971615,-1.0882956834579032,1.5759965436663719
1771415404308,1.9254621185667815,-1.0833503969457035,1.5917777129590884
1771415404317,1.9147634354229175,-1.1719938752994417,1.51418273992711
1771415404324,1.9240141834389806,-1.1429089356021682,1.5477692796392768
1771415404331,1.9210392853683083,-1.1733928515462182,1.5210329226774202
1771415404339,1.923965031345752,-1.2153715095321331,1.4914803168861615
1771415404347,1.9558679702065724,-1.1933135398554329,1.5496523198697425
1771415404354,1.934334492776685,-1.1696124017429173,1.5406676343828347
1771415404362,1.9229666942448294,-1.1910941745049304,1.5096673721834575
1771415404368,1.9458535375925827,-1.1542237053993114,1.5665610832826955
1771415404376,1.9442991773678269,-1.1763601185184742,1.5480556070995672
1771415404383,1.9278412518485544,-1.2075108344911656,1.5028271613580353
1771415404397,1.9317158843766296,-1.199569188781981,1.5141202129546794
1771415404411,1.9453176694369128,-1.1975016959276554,1.5330526811802165
1771415404420,1.9531147731956902,-1.1843594056777131,1.5530454325157348
1771415404427,1.9159981469819622,-1.1937585141114704,1.4986625735050194
1771415404434,1.9445264354919363,-1.170075636174451,1.5530956390248247
1771415404441,1.9420132211286534,-1.162448005799604,1.5556766967628626
1771415404448,1.9357048977051363,-1.194440053742249,1.5232420717062227
1771415404455,1.9234839716096077,-1.223502850556841,1.484193843040172
1771415404464,1.9276675155372316,-1.0949558963436505,1.5864972850653591
1771415404470,1.911710352610655,-1.2022983884671574,1.4863092065139174
1771415404477,1.9421028899627355,-1.198644259446241,1.5280757751165948
1771415404484,1.9406312050232677,-1.1372415432993284,1.572492017818921
1771415404491,1.9588700213813686,-1.195077770820771,1.5520827562848252
1771415404498,1.9577802132767415,-1.280036262087637,1.4813542895737783
1771415404505,1.9575038825002242,-1.1702042702041289,1.56921745338225
1771415404512,1.9512759381797575,-1.1688680583511506,1.5624420786338622
