Timestamp_ms,Measured_Distance_m
70826,1.093
70847,1.046
70858,1.041
70869,1.037
70880,1.088
70891,1.004
70902,1.008
70913,1.022
70924,1.041
70935,1.055
70946,1.051
70957,1.055
70968,1.051
70979,1.027
70990,1.027
71001,1.032
71022,1.041
71033,1.027
71044,1.027
71055,1.051
71066,1.022
71077,1.032
71088,1.027
71099,1.027
71110,1.051
71121,1.032
71132,1.027
71143,1.060
71154,1.013
71165,1.083
71176,1.060
71187,1.013
71208,1.032
71219,1.112
71240,1.022
71251,1.018
71262,1.004
71273,1.027
71284,1.037
71295,1.041
71306,1.032
71317,1.008
71328,1.027
71339,1.022
71350,1.022
71361,1.004
71372,1.013
71383,0.985
71394,1.004
71405,1.008
71416,1.013
71427,1.027
71438,1.013
71449,0.990
71460,1.013
71471,0.999
71482,1.013
71493,0.994
71504,1.022
71515,1.004
71526,1.037
71537,1.018
71548,1.022
71559,1.004
71570,1.027
71591,1.051
71612,1.013
71623,0.985
71634,1.004
71645,1.008
71666,1.013
71677,1.004
71688,1.004
71709,1.013
71720,1.037
71731,0.990
71742,0.980
71753,1.004
71764,1.018
71775,1.008
71786,1.013
71797,1.004
71808,1.004
71819,1.027
71840,0.985
71851,0.976
71862,0.994
71873,0.957
71884,1.013
71895,0.999
71906,0.994
71917,0.971
71928,1.008
71939,0.994
71950,1.004
71971,0.976
71982,0.971
71993,0.980
72004,0.994
72015,0.999
72026,0.976
72037,0.966
72048,0.985
72059,0.990
72080,0.980
72091,0.999
72102,0.985
72113,0.994
72134,0.994
72145,1.013
72166,0.999
72177,0.994
72198,0.990
72209,0.990
72220,0.999
72231,0.990
72242,0.990
72263,1.004
72274,0.990
72285,0.994
72296,0.994
72307,1.004
72318,0.999
72329,0.994
72340,1.018
72361,0.976
72372,0.962
72383,0.990
72394,1.008
72405,0.999
72416,0.994
72427,1.013
72438,0.994
72459,0.976
72470,1.004
72481,0.966
72492,0.971
72503,0.990
72514,0.990
72525,0.976
72536,0.985
72547,0.976
72558,0.999
72569,0.994
72580,0.976
72591,0.976
72612,0.976
72633,1.008
72644,0.994
72655,1.004
72666,1.018
72677,1.037
72698,0.994
72709,1.008
72720,1.013
72741,0.999
72752,0.999
72763,1.018
72774,1.074
72785,0.999
72806,1.069
72817,1.013
72838,1.008
72849,1.027
72860,1.008
72871,1.008
72892,0.994
72903,1.032
72924,1.004
72935,1.041
72946,1.018
72967,1.004
72978,0.999
72989,1.018
73000,0.990
73011,0.985
73022,1.022
73033,0.990
73044,0.994
73055,1.008
73066,1.008
73077,0.980
73088,1.004
73099,0.994
73120,1.004
73131,0.980
73142,0.990
73153,0.994
73164,1.041
73175,0.994
73186,0.999
73197,1.018
73208,1.004
73219,1.008
73230,0.990
73251,0.994
73272,0.985
73283,0.999
73304,0.994
73315,1.051
73326,1.004
73337,0.994
73358,0.994
