Timestamp_ms,Measured_Distance_m
84,1.027
12418,1.046
12435,1.065
12452,1.046
12486,1.093
12503,1.046
12520,1.065
12537,1.088
12554,1.093
12588,1.079
12639,1.018
12656,1.055
12690,1.074
12724,1.065
12741,1.088
12758,1.027
12792,1.055
12809,1.051
12826,1.037
12860,1.037
12894,1.093
12911,1.018
12945,1.069
12996,1.018
13030,1.098
13047,1.027
13064,1.032
13081,1.037
13098,1.018
13132,1.093
13149,1.051
13166,1.093
13200,1.060
13234,1.027
13251,1.060
13268,1.065
13302,1.060
13336,1.022
13353,1.051
13370,1.037
13387,1.055
13421,1.051
13438,1.102
13472,1.065
13489,1.083
13506,1.065
13540,1.055
13574,1.046
13608,1.046
13642,1.055
13676,1.051
13693,1.074
13727,1.037
13744,1.065
13761,1.041
13778,1.065
13812,1.046
13829,1.027
13846,1.055
13880,1.055
13914,1.060
13948,1.037
13965,1.041
13982,1.037
13999,1.032
14033,1.069
14050,1.046
14084,1.074
14118,1.055
14152,1.055
14169,1.079
14186,1.065
14203,1.074
14254,1.046
14271,1.037
14288,1.055
14305,1.065
14322,1.093
14339,1.060
14356,1.046
14390,1.046
14424,1.037
14458,1.041
14509,1.065
14526,1.065
14577,1.032
14594,1.032
14611,1.051
14645,1.079
14679,1.098
14713,1.074
14730,1.032
14764,1.055
14798,1.046
14832,1.055
14849,1.037
14866,1.041
14883,1.032
14934,1.041
14951,1.083
14968,1.037
15002,1.074
15019,1.027
15036,1.055
15070,1.037
15104,1.018
15138,1.069
15172,1.055
15206,1.037
15223,1.027
15240,1.037
15274,1.046
15308,1.032
15342,1.069
15359,1.041
15410,1.022
15478,1.037
15495,1.041
15512,1.046
15546,0.985
15563,1.008
15580,1.027
15614,1.037
15648,1.018
15665,0.985
15682,0.999
15699,1.008
15750,1.013
15784,1.027
15801,1.013
15818,1.004
15835,0.985
15869,1.008
15886,1.032
15920,1.032
15954,1.018
15988,1.041
16022,1.041
16039,1.041
16056,1.018
16090,1.008
16107,1.018
16124,1.051
16141,1.018
16158,1.027
16175,1.013
16192,1.037
16209,1.013
16226,1.018
16260,1.008
16277,0.994
16311,1.018
16345,1.027
16362,1.027
16396,1.022
16430,1.074
16464,1.018
16498,1.037
16515,1.027
16549,1.041
16566,1.037
16600,1.037
16634,1.032
16668,1.041
16702,0.962
16736,1.013
16770,1.018
16787,1.013
16804,1.027
16838,1.008
16872,1.041
16906,0.999
16923,1.037
16940,1.046
16974,1.046
17025,1.018
17042,0.994
17076,0.976
17144,1.022
17178,1.018
17212,1.046
17229,1.018
17280,0.990
17314,0.999
17348,1.008
17365,1.022
17382,0.999
17399,1.018
17416,1.037
17450,1.004
17467,1.008
17484,0.985
17518,1.013
17535,1.013
17552,1.037
17586,1.008
17603,1.008
17620,1.008
17637,1.004
17654,1.041
17671,0.994
17688,1.013
17705,1.013
17722,1.022
17739,1.083
17756,0.999
17790,0.994
17824,1.008
17841,0.976
17858,1.041
17926,0.999
17960,1.032
17977,1.008
17994,1.008
18028,1.013
18062,1.037
18079,1.018
18096,1.013
18113,1.004
18130,1.022
18147,1.027
18164,1.022
18181,1.018
18198,0.999
18266,1.008
18283,1.008
18300,1.032
18334,1.060
18385,1.022
18402,1.022
18419,1.037
18436,1.004
18453,0.980
18470,1.065
18487,1.018
18504,1.018
18555,1.022
18572,1.037
18589,1.027
18606,1.013
18640,1.074
18674,0.999
18742,0.990
18776,1.018
18793,1.046
18810,1.037
18827,1.018
18861,1.008
18878,1.027
18912,1.032
18929,0.999
18946,0.990
18980,1.037
18997,0.999
19014,0.994
19048,1.018
19082,1.013
19116,0.980
19150,1.027
19184,0.990
19235,0.999
19269,1.046
19286,1.032
19303,1.046
19320,1.032
19354,1.018
19388,1.032
19422,1.004
19473,1.018
19490,1.027
19524,1.032
19558,1.013
19592,1.041
19660,1.013
19711,1.022
19728,1.022
19745,1.018
19762,1.046
19796,1.018
19813,0.990
19830,1.018
19864,0.985
19881,1.032
19898,1.037
19915,0.985
19932,1.008
19966,1.013
19983,1.051
20000,1.013
20034,1.022
20085,1.004
20136,0.976
20187,0.985
20221,1.004
20238,0.994
20289,1.004
20340,1.013
20374,1.018
20391,0.999
20408,0.957
20459,1.013
20476,0.990
20527,1.004
20544,1.008
20561,0.985
20578,0.999
20595,1.004
20612,0.976
20629,1.022
20646,0.962
20663,0.999
20680,0.985
20714,0.980
20731,0.976
20782,1.004
20816,0.994
20833,0.971
20850,0.999
20901,0.985
20918,0.962
20935,0.990
20969,0.994
20986,0.994
21037,1.004
21088,0.990
21122,0.980
21207,0.985
21224,0.999
21326,0.985
21343,0.994
21360,0.994
21394,0.994
21445,0.990
21462,0.976
21496,0.999
21598,0.980
21615,0.976
21632,1.008
21649,0.999
21666,1.008
21717,0.994
21785,1.027
21802,1.032
21904,1.022
21921,1.041
21938,0.985
21955,1.022
21972,1.004
22040,1.008
22125,1.046
22142,0.976
22176,0.976
22193,1.022
22227,0.980
22244,1.018
22363,0.990
22380,1.022
22414,1.022
22431,0.985
22448,1.018
22499,0.999
22601,1.004
22618,1.037
22635,1.008
22652,0.980
22669,0.999
22720,1.004
22737,0.985
22771,0.994
22788,0.985
22839,1.022
22856,1.037
22890,1.037
22907,1.008
22924,0.985
22958,0.999
22975,0.990
22992,1.004
23043,0.999
23060,0.990
23094,1.008
23162,1.069
23179,1.027
23247,1.018
23264,1.013
23281,1.004
23349,1.018
23366,1.041
23451,1.037
23468,1.083
23536,0.994
23553,1.008
23587,1.027
23621,1.083
23638,1.022
23655,1.004
23672,1.018
23706,1.027
23723,1.013
23740,1.018
23808,1.018
23825,1.008
23842,1.051
23876,1.046
23893,1.022
23910,1.008
23927,1.008
23944,1.046
24029,1.008
24080,1.022
24097,1.013
24114,1.055
24199,1.065
24250,1.046
24267,1.013
24284,0.999
24301,1.018
24352,1.037
24369,1.013
24386,1.013
24403,1.065
24420,1.041
24454,0.999
24488,0.994
24522,1.041
24556,1.004
24573,1.018
24607,0.999
24624,0.999
24658,1.022
24692,1.041
24726,1.027
24743,1.008
24777,0.999
24811,1.022
24862,1.013
24879,1.041
24896,1.055
24913,1.013
24930,0.994
24964,1.022
24998,1.027
25032,1.022
25049,1.041
25100,1.013
25134,1.041
25151,1.032
25168,1.008
25185,1.013
25202,1.041
25236,1.008
25270,1.022
25304,1.032
25338,1.004
25406,1.046
25440,1.055
25491,0.999
25542,0.994
25576,1.041
25593,1.018
25610,1.027
25644,1.032
25678,1.013
25712,0.999
25729,1.032
25746,0.999
25763,1.013
25780,1.022
25797,1.055
25814,1.022
25831,1.037
25848,1.022
25865,1.027
25933,1.008
25950,1.004
25967,1.004
26018,1.037
26086,1.022
26103,1.027
26137,1.041
26154,1.018
26205,1.004
26273,1.032
26324,1.065
26358,1.032
26392,1.060
26426,1.018
26460,1.008
26477,1.051
26494,1.051
26511,1.013
26528,1.018
26579,1.046
26630,1.008
26664,1.079
26681,1.022
26732,1.032
26783,1.051
26800,1.032
26834,1.032
26851,1.060
26919,1.055
26953,0.990
26987,1.022
27004,1.027
27021,1.055
27072,1.060
27106,1.041
27140,1.060
27208,1.022
27242,1.032
27259,1.032
27310,1.037
27344,1.065
27361,1.032
27412,1.041
27446,1.018
27463,1.032
27480,1.022
27497,1.037
27514,1.065
27548,1.046
27582,1.055
27599,1.060
27616,1.013
27701,0.985
27718,0.994
27735,1.032
27752,1.027
27769,1.046
27786,0.994
27820,1.041
27854,1.018
27871,1.060
27888,1.046
27922,1.008
27939,1.060
28007,0.976
28092,1.046
28109,1.041
28126,1.037
28143,0.994
28160,1.004
28194,1.027
28228,0.999
28262,1.032
28296,1.008
28313,1.004
28381,1.022
28398,1.013
28415,1.032
28449,1.041
28466,0.985
28483,1.004
28534,0.990
28636,1.013
28670,1.004
28687,1.008
28704,0.985
28721,0.976
28772,1.013
28806,1.037
28823,1.018
28891,1.037
28908,0.990
28976,0.976
29044,1.018
29078,1.037
29129,1.032
29146,0.976
29180,0.994
29214,1.013
29231,1.013
29248,1.027
29265,0.980
29316,0.999
29333,1.004
29350,0.999
29384,1.008
29401,0.994
29452,1.004
29503,1.037
29520,1.027
29554,1.046
29588,1.008
29605,1.018
29622,0.994
29639,1.013
29690,1.018
29724,1.022
29758,1.027
29775,0.990
29792,1.018
29809,1.032
29860,1.022
29894,1.018
29928,1.013
29945,0.980
29962,1.004
29979,1.046
29996,0.985
30013,0.999
30030,1.022
30064,1.046
30081,0.985
30098,0.990
30149,1.008
30166,0.980
30251,1.032
30268,1.060
30302,0.999
30336,0.980
30353,1.013
30370,1.018
30404,1.041
30438,1.022
30455,1.027
30472,1.022
30489,1.022
30574,1.004
30642,1.013
30676,1.008
30710,1.008
30744,0.990
30761,0.994
30778,1.037
30795,1.027
30812,1.027
30846,1.060
30880,1.037
30931,1.041
30948,1.046
30982,1.041
30999,1.004
31016,1.032
31067,0.994
31084,1.032
31118,1.055
31186,1.032
31220,1.008
31254,1.013
31288,1.051
31322,1.037
31339,1.004
31356,0.994
31390,1.004
31475,0.990
31492,0.994
31509,0.962
31560,0.971
31594,1.032
31628,1.004
31662,0.957
31713,1.032
31730,1.018
31764,1.008
31781,1.004
31832,1.055
31934,0.966
31985,0.976
32002,1.022
32036,1.046
32053,1.093
32070,1.069
32138,1.041
32172,1.065
32206,1.098
32223,1.055
32240,1.051
32274,1.004
32308,1.037
32325,0.980
32342,0.999
32359,0.952
32376,0.952
32410,1.013
32478,1.074
32597,1.079
32614,1.046
32631,1.046
32665,1.055
32682,1.055
32699,1.041
32716,1.008
32767,1.022
32784,1.008
32801,0.994
32818,1.013
32886,1.008
32903,0.990
32920,0.999
32937,1.004
32954,1.032
32971,1.013
33056,0.999
33209,0.994
33226,1.013
33243,1.018
33260,1.008
33328,1.008
33379,1.013
33430,1.008
33447,1.032
33464,1.004
33481,1.032
33498,1.032
33515,1.004
33583,0.980
33600,1.074
33617,1.041
33634,1.022
33702,0.994
33736,0.985
33821,1.008
33838,1.027
33855,1.022
33872,1.013
33889,0.999
33906,1.022
33923,1.004
33940,1.004
33974,1.022
34042,1.008
34110,1.013
34127,1.022
34144,1.027
34161,1.004
34178,0.990
34229,1.008
34246,0.999
34263,1.013
34348,0.999
34433,0.994
34450,1.013
34484,0.994
34501,1.004
34518,0.966
34535,0.994
34552,0.971
34569,0.980
34586,1.004
34603,1.022
34654,1.018
34688,1.013
34739,1.018
34824,1.041
34926,1.004
34943,0.999
34960,1.013
34994,1.027
35045,0.985
35062,1.013
35164,1.013
35198,1.004
35215,0.994
35232,0.980
35266,0.980
