Timestamp_ms,Measured_Distance_m
95,1.993
19597,2.026
19599,2.003
19601,2.007
19603,2.050
19605,1.989
19607,2.036
19609,2.003
19611,2.031
19613,2.007
19615,2.003
19617,2.040
19619,1.993
19621,2.040
19623,2.003
19625,2.031
19627,2.022
19629,1.998
19631,2.012
19633,1.979
19635,2.031
19637,1.998
19639,2.036
19641,2.012
19643,2.017
19645,2.022
19647,1.989
19649,2.040
19651,1.984
19653,2.022
19655,2.003
19657,2.040
19659,2.012
19661,1.998
19663,2.036
19665,2.007
19667,2.036
19669,1.989
19671,2.045
19673,1.993
19675,2.031
19677,2.012
19679,1.998
19681,2.040
19683,1.993
19685,2.031
19687,2.012
19689,2.036
19691,1.998
19693,2.022
19695,2.031
19697,1.998
19699,2.022
19701,1.993
19703,2.036
19705,1.989
19707,2.040
19709,1.998
19711,2.022
19713,2.026
19715,2.003
19717,2.045
19719,1.993
19721,2.026
19723,1.998
19725,2.031
19727,1.998
19729,2.045
19731,2.003
19733,2.012
19735,2.036
19737,1.998
19739,2.026
19741,1.993
19743,2.031
19745,1.989
19747,2.040
19749,1.989
19751,2.007
19753,2.022
19755,2.007
19757,2.026
19759,2.003
19761,2.012
19763,1.975
19765,2.031
19767,1.993
19769,2.059
19771,2.003
19773,2.022
19775,2.031
19777,1.998
19779,2.031
19781,2.003
19783,2.031
19785,2.003
19787,2.050
19789,1.993
19791,2.026
19793,1.993
19795,2.022
19797,2.003
19799,2.003
19801,2.007
19803,1.993
19805,2.026
19807,2.003
19809,2.026
19811,1.998
19813,2.040
19815,1.993
19817,2.040
19819,2.003
19821,2.026
19823,2.012
19825,2.017
19827,2.026
19829,2.003
19831,2.022
19833,1.989
19835,2.031
19837,1.993
19839,2.036
19841,1.984
19843,2.050
19845,1.993
19847,2.022
19849,1.979
19851,2.031
19853,2.012
19855,2.003
19857,2.017
19859,2.003
19861,2.007
19863,1.979
19865,2.031
19867,1.998
19869,2.031
19871,2.003
19873,2.022
19875,1.993
19877,2.022
19879,1.989
19881,2.036
19883,2.003
19885,2.012
19887,2.003
19889,2.017
19891,2.022
19893,1.993
19895,2.036
19897,1.984
19899,2.017
19901,1.993
19903,2.022
19905,2.003
19907,2.031
19909,2.003
19911,2.040
19913,1.998
19915,2.026
19917,2.003
19919,2.031
19921,1.998
19923,2.026
19925,2.003
19927,2.022
19929,2.022
19931,2.003
19933,2.007
19935,1.993
19937,2.017
19939,1.989
19941,2.036
19943,1.998
19945,2.050
19947,1.993
19949,2.059
19951,1.989
19953,2.036
19955,1.984
19957,2.040
19959,1.993
19961,2.026
19963,1.979
19965,2.022
19967,1.979
19969,2.007
19971,1.979
19973,2.031
19975,2.007
19977,2.017
19979,2.026
19981,2.022
19983,2.007
19985,2.003
19987,1.993
19989,1.993
19991,2.026
19993,2.012
19995,2.022
19997,2.003
19999,2.036
20001,1.993
20003,2.026
20005,1.989
20007,2.026
20009,1.984
20011,2.040
20013,1.993
20015,2.022
20017,1.993
20019,2.022
20021,1.993
20023,2.022
20025,1.984
20027,2.040
20029,1.989
20031,2.031
20033,2.017
20035,2.031
20037,1.998
20039,2.017
20041,1.984
20043,2.031
20045,2.007
20047,2.031
20049,2.007
20051,2.012
20053,2.003
20055,2.012
20057,1.998
20059,2.022
20061,1.989
20063,2.031
20065,2.003
20067,2.022
20069,1.993
20071,1.993
20073,2.007
20075,2.012
20077,1.993
20079,2.012
20081,2.007
20083,2.012
20085,2.012
20087,1.998
20089,2.012
20091,2.022
20093,2.012
20095,2.026
20097,2.003
20099,2.017
20101,2.003
20103,2.012
20105,2.003
20107,2.007
20109,2.012
20111,2.007
20113,2.003
20115,1.998
20117,2.012
20119,2.007
20121,2.012
20123,1.993
20125,2.003
20127,2.017
20129,2.022
20131,1.989
20133,2.007
20135,1.998
20137,2.022
20139,1.998
20141,2.012
20143,2.003
20145,2.026
20147,2.003
20149,2.017
20151,2.022
20153,2.012
20155,2.022
20157,1.993
20159,2.012
20161,2.012
20163,2.031
20165,2.003
20167,2.022
20169,1.998
20171,2.007
20173,1.998
20175,2.031
20177,1.998
20179,2.017
20181,1.993
20183,2.026
20185,1.979
20187,2.026
20189,1.993
20191,2.040
20193,1.989
20195,2.026
20197,1.989
20199,2.017
20201,1.993
20203,2.036
20205,1.993
20207,2.026
20209,1.993
20211,2.040
20213,1.993
20215,2.026
20217,1.979
20219,2.054
20221,1.993
20223,2.045
20225,1.993
20227,2.031
20229,1.993
20231,2.022
20233,1.993
20235,2.040
20237,1.989
20239,2.045
20241,1.998
20243,2.012
20245,1.998
20247,2.031
20249,1.993
20251,2.007
20253,2.017
20255,2.022
20257,2.022
20259,1.993
20261,2.012
20263,1.998
20265,2.003
20267,1.984
20269,2.040
20271,1.993
20273,2.026
20275,2.007
20277,2.017
20279,2.003
20281,2.036
20283,1.998
20285,2.022
20287,1.989
20289,2.031
20291,2.012
20293,2.036
20295,1.984
20297,2.017
20299,1.984
20301,2.017
20303,2.003
20305,2.022
20307,2.007
20309,1.998
20311,2.007
20313,2.003
20315,2.003
20317,1.979
20319,2.050
20321,1.989
20323,2.022
20325,2.012
20327,2.040
20329,1.984
20331,2.017
20333,1.993
20335,2.036
20337,1.993
20339,2.036
20341,1.993
20343,2.040
20345,1.989
20347,2.031
20349,1.993
20351,2.017
20353,1.998
20355,1.998
20357,1.993
20359,2.003
20361,2.031
20363,1.993
20365,2.026
20367,2.003
20369,2.031
20371,2.003
20373,2.040
20375,1.989
20377,2.031
20379,1.993
20381,2.045
20383,2.012
20385,2.031
20387,1.984
20389,2.022
20391,1.989
20393,2.022
20395,2.003
20397,2.017
20399,2.007
20401,1.993
20403,2.007
20405,1.993
20407,2.031
20409,2.003
20411,2.026
20413,2.003
20415,2.036
20417,1.989
20419,2.017
20421,1.993
20423,2.040
20425,1.993
20427,2.036
20429,2.022
20431,2.003
20433,2.003
20435,2.003
20437,2.031
