Timestamp_ms,Measured_Distance_m
40052,1.013
40054,1.018
40055,1.018
40056,1.046
40058,1.037
40059,1.060
40061,1.037
40062,1.008
40065,1.027
40066,1.037
40068,1.022
40069,0.999
40071,1.027
40072,1.065
40074,1.027
40075,1.032
40077,1.013
40078,1.065
40079,1.022
40081,1.027
40082,1.041
40084,1.079
40085,1.083
40087,1.069
40088,1.046
40090,1.037
40091,1.027
40093,1.060
40094,1.055
40097,1.032
40098,1.051
40100,1.008
40101,1.037
40102,1.041
40104,1.037
40105,1.065
40107,1.041
40108,1.013
40110,1.055
40111,1.018
40113,1.055
40114,1.051
40117,1.018
40118,1.032
40120,1.037
40121,1.041
40124,1.079
40125,1.041
40127,1.008
40128,1.027
40130,1.022
40134,1.060
40135,1.055
40137,1.051
40138,1.065
40140,1.046
40141,1.041
40143,1.060
40144,1.060
40146,1.022
40147,1.055
40149,1.046
40150,1.027
40151,1.079
40153,1.046
40154,1.055
40156,1.018
40157,1.051
40161,1.088
40162,1.051
40164,1.060
40165,1.055
40167,1.055
40168,1.083
40170,1.055
40171,1.041
40173,1.126
40174,1.051
40176,1.051
40177,1.032
40178,1.041
40180,1.051
40181,1.055
40183,1.060
40184,1.041
40186,1.093
40187,1.046
40189,1.055
40190,1.051
40193,1.041
40194,1.037
40196,1.065
40197,1.018
40199,1.037
40200,1.041
40202,1.060
40203,1.055
40204,1.079
40206,1.083
40207,1.079
40209,1.079
40211,1.046
40212,1.107
40213,1.037
40215,1.046
40216,1.088
40218,1.098
40219,1.032
40221,1.055
40222,1.102
40225,1.051
40226,1.098
40229,1.079
40230,1.069
40232,1.032
40233,1.074
40235,1.074
40236,1.069
40238,1.098
40239,1.098
40240,1.018
40242,1.079
40243,1.022
40245,1.154
40246,1.037
40248,1.093
40249,1.027
40254,1.088
40255,1.107
40257,1.065
40258,1.060
40261,1.046
40262,1.074
40266,1.037
40267,1.083
40269,1.051
40270,1.112
40272,1.116
40273,1.055
40275,1.060
40276,1.116
40278,1.083
40279,1.079
40280,1.046
40282,1.055
40283,1.074
40285,1.088
40286,1.079
40288,1.055
40289,1.051
40291,1.013
40292,1.037
40294,1.065
40295,1.140
40298,1.065
40299,1.051
40301,1.079
40302,1.102
40305,1.088
40306,1.079
40308,1.140
40309,1.074
40311,1.069
40312,1.060
40314,1.069
40315,1.041
40316,1.060
40318,1.022
40319,1.102
40321,1.060
40322,1.098
40324,1.088
40325,1.018
40328,1.107
40329,1.065
40331,1.083
40332,1.051
40334,1.046
40335,1.037
40337,1.083
40338,1.079
40340,1.074
40341,1.027
40342,1.079
40344,1.041
40345,1.098
40347,1.107
40348,1.055
40350,1.074
40351,1.051
40353,1.065
40354,1.093
40357,1.112
40358,1.093
40360,1.093
40361,1.083
40363,1.098
40364,1.079
40366,1.102
40367,1.060
40368,1.069
40370,1.051
40371,1.041
40373,1.065
40374,1.065
40376,1.055
40377,1.088
40380,1.055
40381,1.065
40383,1.032
40384,1.069
40388,1.083
40389,1.107
40391,1.060
40392,1.046
40394,1.060
40396,1.051
40397,1.079
40399,1.088
40400,1.065
40405,1.074
40406,1.088
40409,1.060
40410,1.055
40414,1.065
40415,1.135
40418,1.027
40419,1.055
40421,1.032
40422,1.074
40423,1.060
40425,1.079
40426,1.116
40428,1.093
40429,1.037
40431,1.065
40432,1.088
40434,1.069
40435,1.083
40438,1.065
40439,1.112
40442,1.055
40443,1.098
40446,1.107
40447,1.069
40450,1.046
40451,1.079
40455,1.107
40456,1.102
40459,1.107
40460,1.116
40462,1.069
40463,1.107
40465,1.060
40466,1.069
40468,1.069
40469,1.037
40471,1.055
40472,1.088
40473,1.098
40475,1.093
40476,1.173
40478,1.083
40479,1.022
40482,1.055
40483,1.060
40485,1.079
40486,1.037
40489,1.069
40490,1.027
40492,1.069
40493,1.112
40495,1.074
40496,1.018
40498,1.083
40499,1.069
40500,1.083
40502,1.116
40503,1.107
40505,1.098
40506,1.088
40508,1.060
40509,1.093
40511,1.060
40512,1.093
40514,1.083
40515,1.065
40518,1.079
40519,1.032
40522,1.069
40523,1.098
40527,1.088
40528,1.074
40532,1.107
40533,1.074
40535,1.051
40536,1.065
40538,1.027
40539,1.093
40540,1.102
40542,1.069
40543,1.055
40545,1.051
40546,1.083
40548,1.126
40549,1.083
40551,1.060
40552,1.116
40556,1.083
40557,1.027
40559,1.079
40560,1.069
40562,1.069
40563,1.107
40565,1.088
40566,1.112
40568,1.079
40569,1.046
40571,1.013
40572,1.083
40574,1.083
40575,1.121
40576,1.065
40578,1.069
40579,1.065
40581,1.046
40582,1.074
40584,1.069
40585,1.065
40587,1.013
40588,1.074
40591,1.046
40592,1.093
40594,1.051
40595,1.065
40597,1.102
40598,1.098
40600,1.051
40601,1.060
40602,1.079
40604,1.079
40605,1.140
40608,1.107
40609,1.079
40612,1.079
40613,1.065
40617,1.060
40618,1.112
40621,1.069
40622,1.055
40627,1.098
40628,1.018
40631,1.051
40632,1.116
40634,1.112
40635,1.069
40637,1.074
40638,1.088
40641,1.069
40642,1.041
40644,1.060
40645,1.121
40647,1.088
40648,1.079
40650,1.051
40651,1.079
40652,1.079
40654,1.060
40655,1.093
40657,1.083
40658,1.060
40663,1.060
40664,1.107
40669,1.130
40670,1.098
40672,1.060
40673,1.060
40675,1.079
40676,1.107
