Timestamp_ms,Measured_Distance_m
8872,7.988
9002,7.809
9028,8.269
9080,7.880
9106,7.899
9262,7.903
9288,8.194
9314,7.894
9340,8.311
9392,8.264
9418,7.884
9444,7.960
9470,8.668
9496,7.969
9574,7.852
9652,8.288
9730,8.307
9782,7.922
9808,7.809
9860,8.649
9912,7.899
9938,8.260
10042,7.870
10068,8.218
10094,8.016
10120,7.889
10198,8.363
10224,8.607
10250,8.138
10302,8.368
10328,8.189
10354,8.621
10406,8.049
10432,8.171
10458,7.824
10484,8.241
10510,8.288
10536,7.917
10614,7.875
10640,8.208
10666,8.208
10718,8.593
10796,7.927
10822,8.035
10900,7.941
10926,7.917
10952,8.222
10978,7.856
11004,7.894
11030,8.208
11134,8.293
11186,8.293
11212,8.264
11238,8.269
11290,8.682
11368,8.255
11420,7.884
11472,7.964
11524,8.377
11550,8.293
11602,8.250
11654,7.875
11680,8.002
11732,8.218
11810,7.866
11862,8.283
11914,8.339
11966,7.838
11992,8.283
12044,7.856
12096,7.800
12122,7.931
12148,7.969
12174,8.654
12226,8.607
12278,8.006
12304,7.856
12330,8.269
12382,8.222
12434,8.264
12460,7.913
12538,8.189
12590,7.899
12616,7.969
12668,7.833
12746,8.236
12798,7.922
12876,7.903
12902,8.649
12928,8.630
12954,7.950
12980,8.339
13006,7.922
13032,8.626
13058,8.368
13084,7.922
13110,8.288
13162,7.833
13188,8.297
13214,8.161
13266,7.889
13292,8.269
13318,8.274
13344,8.255
13422,8.264
13448,7.983
13474,8.321
13500,8.621
13552,7.927
13578,8.382
13604,7.903
13656,8.668
13682,7.945
13734,7.974
13760,7.955
13786,7.917
13812,8.222
13890,8.152
13916,8.175
13968,8.574
13994,8.588
14046,8.021
14072,8.307
14098,8.565
14124,8.593
14176,8.227
14202,8.611
14254,7.908
14332,8.654
14436,8.658
14488,8.021
14514,8.555
14566,8.635
14644,8.297
14670,8.213
14696,8.236
14722,8.166
14748,8.311
14774,7.889
14800,8.574
14826,8.579
14904,8.096
14956,8.630
14982,7.828
15008,8.213
15034,8.157
15060,8.185
15112,8.621
15138,8.246
15164,8.208
15190,8.635
15216,8.616
15242,7.978
15268,8.330
15320,8.597
15346,8.654
15424,8.241
15450,8.189
15476,8.250
15502,8.579
15528,8.588
15554,8.241
15580,8.555
15606,8.171
15658,8.157
15684,8.189
15710,8.621
15788,8.607
15814,8.307
15840,8.626
15866,8.302
15944,8.616
15970,8.400
15996,8.039
16022,8.611
16048,8.588
16074,8.616
16126,8.274
16152,8.274
16204,8.602
16230,8.189
16256,8.640
16282,8.630
16308,8.593
16334,8.283
16386,8.349
16412,8.602
16464,8.611
16490,8.133
16516,8.551
16568,8.663
16594,8.560
16646,8.236
16672,8.297
16698,8.246
16724,8.621
16776,8.597
16906,8.250
16932,8.339
16958,8.194
17036,8.644
17088,8.185
17114,8.288
17140,8.644
17218,7.828
17244,8.349
17270,8.579
17296,8.611
17322,8.241
17348,8.288
17426,8.006
17452,8.565
17608,8.621
17660,8.593
17764,8.246
17816,8.658
17920,8.616
17946,8.621
17972,8.152
18050,8.232
18102,8.241
18180,8.630
18232,8.597
18258,8.630
18284,8.607
18310,8.649
18336,8.583
18362,8.611
18388,8.588
18440,8.283
18518,8.236
18544,8.288
18570,8.602
18596,8.236
18726,8.293
18778,8.654
18804,8.142
18830,8.551
18856,8.218
18882,8.551
18908,8.260
19012,8.321
19064,8.157
19116,8.565
19220,8.241
19298,8.227
19376,8.668
19402,8.597
19428,8.602
19480,8.222
19584,8.302
19662,8.250
19766,8.227
19792,7.894
19818,8.607
19870,8.766
19896,8.321
19948,7.781
19974,7.842
20026,8.443
20052,7.842
20078,8.288
20104,8.349
20286,8.400
20338,8.269
20416,8.818
20468,7.870
20494,8.447
20546,7.809
20598,7.805
20650,8.246
20702,8.255
20728,7.838
20754,8.302
20780,7.866
20806,8.377
20858,7.941
21014,8.278
21118,7.777
21144,8.302
21222,8.293
21274,7.777
21352,8.255
21404,8.738
21456,8.748
21482,8.316
21508,7.852
21560,7.852
21586,8.241
21612,8.752
21638,8.729
21664,7.781
21742,8.269
21794,8.213
21846,8.325
21898,8.283
21976,8.349
22002,8.715
22054,8.236
22080,8.743
22106,8.733
22158,8.218
22210,8.363
22262,8.701
22288,8.311
22314,7.791
22366,8.260
22392,7.814
22418,8.283
22470,7.884
22600,7.866
22626,8.307
22652,7.777
22678,8.264
22704,7.795
22730,7.828
22756,8.218
22782,7.852
22808,8.297
22834,7.852
22886,8.705
22938,8.762
23016,8.307
23068,8.321
23224,8.302
23250,8.264
23276,8.738
23302,8.297
23328,7.809
23354,7.748
23380,8.208
23432,8.222
23458,8.715
23640,8.321
23666,8.780
23692,8.241
23718,8.288
23744,8.330
23770,8.719
23822,7.842
23848,8.349
23874,8.246
23900,8.246
23926,7.833
23952,8.278
24004,8.241
24056,8.321
24082,7.781
24134,7.852
24160,8.293
24186,8.218
24212,8.321
24238,7.819
24264,8.283
24290,8.743
24368,8.311
24394,8.250
24420,8.246
24446,8.264
24472,8.705
24524,8.302
24550,7.927
24576,7.824
24628,8.264
24680,7.800
24784,8.255
24810,8.771
24836,7.828
24862,8.710
24914,8.316
24940,7.697
25018,8.283
25122,8.283
25148,8.302
25200,7.767
25226,8.283
25252,8.241
25278,8.293
25304,8.729
25382,8.311
25434,8.780
25460,8.715
25512,8.293
25538,8.443
25616,7.809
25642,8.748
25668,8.302
25694,8.738
25876,7.819
25902,7.781
25928,8.724
25954,8.710
25980,8.710
26006,8.743
26058,7.828
26084,7.809
26110,8.274
26136,8.264
26214,8.269
26240,7.838
26396,8.274
26422,8.724
26448,8.278
26500,8.748
26552,8.724
26604,8.227
26760,8.733
26838,8.715
26864,8.302
26942,8.246
26968,7.856
26994,8.264
27150,8.705
27176,8.264
27332,7.805
27384,8.682
27410,8.696
27436,8.269
27488,8.232
27618,8.232
27644,8.715
27696,7.833
27722,8.752
27748,8.724
27774,8.705
27800,8.278
27826,8.715
27852,8.293
27930,8.733
27982,8.227
28008,8.762
28034,8.255
28060,7.870
28086,8.687
28112,8.241
28138,8.705
28190,8.293
28216,8.199
28268,8.705
28320,8.719
28398,7.805
28424,8.269
28450,8.705
28502,7.828
28554,8.766
28606,8.274
28658,8.733
28710,7.866
28762,8.715
28814,7.748
28840,8.705
28866,7.875
28918,8.733
28970,8.260
28996,8.283
29022,8.710
29048,8.218
29074,8.283
29100,7.805
29126,7.856
29178,8.255
29308,8.283
29334,8.311
29360,7.856
29412,8.236
29438,7.842
29464,7.875
29490,8.250
29542,8.710
29568,8.738
29646,7.809
29672,7.870
29698,7.833
29776,8.733
29802,8.250
29828,8.236
29854,8.701
29906,7.908
29958,7.903
30010,7.875
30036,8.260
30062,7.903
30088,7.847
30114,7.847
30166,7.683
30244,8.354
30296,8.302
30322,8.762
30348,7.819
30400,7.880
30426,8.260
30478,7.748
30530,7.861
30556,7.758
30582,7.842
30634,7.824
30660,8.255
30686,7.861
30738,8.733
30764,8.283
30816,7.828
30842,8.321
30868,7.880
30894,8.297
30920,8.278
30972,7.870
30998,7.838
31024,7.852
31050,7.852
31076,8.335
31102,8.780
31128,8.236
31154,8.358
31206,7.884
31232,8.293
31258,7.824
31336,7.875
31388,8.330
31414,8.339
31440,8.368
31466,8.283
31518,7.847
31544,7.833
31570,8.307
31596,7.833
31622,8.264
31648,7.908
31752,7.781
31804,8.222
31830,8.339
31882,8.269
31934,7.861
31960,7.852
31986,8.316
32038,7.899
32064,7.838
32168,7.870
32194,8.321
32220,8.269
32272,7.833
32298,7.875
32324,7.852
32376,8.283
32428,8.283
32454,7.852
32480,8.288
32506,7.847
32532,8.321
32610,8.354
32636,8.391
32688,7.824
32714,8.288
32740,7.847
32818,8.339
32844,7.767
32870,7.824
32896,7.805
32922,8.307
32948,8.710
32974,8.321
33000,7.856
33026,8.354
33078,8.321
33104,8.283
33130,7.861
33156,7.852
33182,7.880
33208,8.255
33260,7.884
33286,8.283
33312,7.833
33338,7.870
33364,8.283
33390,8.724
33442,7.903
33520,8.330
33598,8.269
33624,8.743
33676,7.856
33702,8.325
33728,8.293
33754,7.795
33832,8.335
33858,8.823
33884,7.866
33910,7.875
33988,8.311
34092,8.738
34118,7.763
34144,8.274
34248,7.903
34300,8.278
34326,7.870
34352,8.246
34378,8.232
34430,8.330
34508,8.278
34560,8.738
34586,7.814
34612,8.354
34664,7.852
34716,7.870
34742,8.293
34768,8.288
34794,8.335
34846,8.790
34924,7.852
34950,7.856
34976,8.762
35002,7.842
35028,8.297
35054,7.842
35184,7.819
35210,7.899
35262,7.847
35288,8.246
35314,8.335
35340,8.222
35418,8.321
35444,8.297
35496,8.302
35574,7.866
35600,7.880
35704,8.719
35730,8.729
35756,8.255
35782,8.278
35808,7.847
35860,8.255
35912,8.752
36016,8.269
36042,8.297
36068,8.325
36120,7.777
36146,7.842
36198,8.311
36276,8.250
36328,8.208
36380,7.814
36406,7.828
36432,8.255
36458,7.673
36562,7.828
36588,8.232
36666,7.795
36718,7.870
36744,8.293
36796,8.236
36874,8.330
36978,7.856
37004,7.945
37082,7.922
37134,8.358
37160,8.302
37186,8.335
37212,7.884
37316,7.870
37342,7.819
37368,7.809
37394,8.236
37420,7.875
37498,8.175
37524,8.780
37550,7.828
37654,7.889
37680,7.824
37706,7.842
37810,7.763
37862,8.311
37888,7.852
37914,7.824
37966,8.311
37992,8.269
38018,7.922
38044,8.307
38096,8.302
38122,8.330
38174,8.354
38252,7.833
38278,8.339
38304,8.288
38330,8.302
38382,7.889
38408,7.964
38460,7.913
38486,7.889
38538,8.302
38616,7.763
38668,7.828
38720,7.814
38772,7.889
38798,7.786
38850,8.255
38928,7.880
38954,8.368
39006,7.753
39032,7.866
39058,7.833
39162,8.311
39188,7.814
39214,7.842
39266,7.870
39292,8.255
39318,8.316
39370,7.875
39422,7.786
39448,7.899
39474,7.814
39526,7.922
39578,8.288
39604,7.791
39630,7.748
39734,8.776
39760,7.748
39786,7.781
39812,8.719
39864,8.264
39890,7.767
39916,8.344
39942,7.899
39968,7.894
39994,7.856
40020,8.283
40046,7.725
40072,7.800
40098,8.297
40124,7.884
40202,7.908
40228,8.283
40254,7.819
40280,8.377
40306,7.852
40358,7.861
40410,7.824
40462,7.894
40488,8.293
40514,8.757
40592,8.335
40618,8.377
40644,7.809
40670,7.786
40748,7.833
40774,7.889
40800,8.278
40826,7.899
40904,7.908
40930,7.908
40956,8.339
41034,8.278
41060,7.748
41138,7.856
41164,8.358
41190,7.922
41216,8.339
41268,7.936
41372,7.852
41476,8.325
41502,7.847
41554,7.814
41580,8.293
41606,7.899
41632,7.833
41658,7.805
41684,7.856
41710,8.255
41788,8.335
41814,7.805
41840,7.842
41866,8.321
41892,8.382
41944,7.842
41970,7.870
41996,7.819
42022,7.861
42048,8.274
42152,7.899
42204,7.917
42256,7.833
42282,7.880
42308,8.307
42360,8.283
42412,8.687
42438,8.682
42464,8.719
42516,7.739
42542,8.227
42568,8.100
42620,7.800
42698,7.786
42776,8.668
42828,7.734
42854,7.777
42932,8.687
42958,8.325
42984,8.705
43010,8.316
43036,8.250
43062,8.715
43088,8.302
43140,7.809
43166,8.354
43218,8.255
43296,7.908
43400,8.269
43426,7.852
43452,8.288
43478,7.828
43504,8.316
43556,8.691
43608,8.288
43634,7.884
43660,7.814
43686,7.852
43738,7.960
43764,8.339
43790,8.311
43816,7.824
43842,7.824
43868,7.838
43920,8.715
43946,7.824
43972,8.264
44102,7.875
44154,7.899
44180,8.264
44206,8.302
44258,8.339
44336,8.715
44388,7.833
44414,8.283
44440,7.842
44466,7.824
44492,8.687
44544,7.875
44570,8.321
44596,8.701
44622,8.283
44648,8.335
44726,8.302
44778,8.311
44804,8.321
44882,7.856
44908,8.752
44986,8.701
45038,8.288
45064,8.729
45116,8.278
