Timestamp_ms,Measured_Distance_m
39181,1.022
39187,1.018
39189,1.008
39197,1.032
39203,0.999
39209,1.018
39211,0.999
39213,1.004
39215,1.018
39221,1.013
39223,1.037
39227,0.990
39235,1.037
39239,1.065
39247,1.032
39249,1.055
39253,1.065
39255,1.032
39261,1.008
39263,1.022
39269,1.027
39271,1.046
39275,0.999
39277,1.008
39285,0.990
39289,1.037
39291,1.037
39297,1.046
39301,1.055
39303,1.041
39323,0.999
39329,1.027
39331,1.022
39333,1.013
39335,0.985
39341,0.990
39347,1.060
39359,1.027
39365,1.041
39367,0.976
39373,1.018
39379,1.041
39381,1.037
39385,1.055
39387,1.041
39393,1.041
39407,1.041
39409,1.055
39413,1.027
39415,1.013
39421,1.046
39423,0.990
39425,1.022
39431,1.041
39439,0.990
39443,1.037
39451,1.008
39453,1.008
39455,1.046
39459,1.065
39461,1.027
39465,1.032
39475,0.999
39477,1.013
39481,1.008
39483,0.999
39489,1.041
39491,1.008
39497,1.055
39505,0.999
39509,1.004
39513,1.032
39517,1.008
39519,1.027
39525,1.041
39527,1.037
39531,1.018
39533,1.037
39539,1.032
39541,1.013
39545,0.999
39547,1.032
39549,1.051
39551,1.018
39557,1.046
39559,1.004
39565,1.037
39567,1.018
39571,1.008
39573,1.055
39581,0.990
39589,1.041
39595,1.022
39615,1.022
39625,1.027
39627,1.046
39633,1.032
39635,1.018
39641,1.046
39649,1.060
39651,1.037
39657,1.027
39661,1.032
39663,1.055
39669,1.027
39679,1.027
39681,1.032
39685,0.994
39727,1.018
39733,1.046
39741,1.004
39743,1.032
39749,1.018
39751,1.055
39763,1.018
39765,1.018
39769,1.046
39771,1.027
39777,0.999
39779,1.008
39785,1.004
39787,1.022
39793,1.013
39795,1.004
39801,1.018
39803,1.018
39809,1.037
39811,1.037
39817,1.046
39819,1.018
39825,1.046
39827,1.013
39833,1.018
39835,1.051
39841,0.999
39843,1.018
39847,1.032
39849,0.999
39851,1.018
39853,1.013
39861,1.046
39863,1.065
39869,1.018
39871,1.037
39875,1.055
39877,0.990
39881,1.046
39883,1.004
39889,1.013
39891,1.018
39897,1.027
39907,1.037
39911,1.037
39917,1.018
39919,1.013
39925,0.990
39927,1.046
39933,1.046
39935,1.004
39941,1.041
39943,1.018
39947,1.018
39949,1.022
39953,1.013
39955,1.051
39959,1.046
39961,1.022
39965,0.999
39967,1.041
39973,1.037
39975,1.013
39981,1.074
39983,1.051
39989,0.999
39991,1.055
40007,1.022
40013,1.055
40015,0.994
40021,0.999
40023,1.004
40029,1.046
40031,1.046
40033,1.018
40039,1.041
40051,1.037
40057,1.027
40071,1.018
40073,1.060
40075,1.027
40077,1.037
40085,1.022
40087,1.027
40093,1.027
40099,1.008
40105,0.994
40107,0.999
40113,1.041
40117,1.027
40121,1.004
40123,1.051
40129,1.037
40131,1.022
40135,1.008
40141,1.008
40143,1.041
40149,1.013
40151,1.051
40155,1.008
40161,1.022
40163,1.046
40169,1.041
40171,1.041
40179,1.032
40183,1.013
40189,0.990
40191,1.037
40197,1.037
40199,1.018
40209,1.018
40215,1.022
40221,1.046
40223,1.008
40229,1.013
40231,1.037
40237,1.046
40239,1.032
40245,1.008
40251,1.018
40261,0.999
40269,1.055
40275,1.008
40281,1.027
40287,1.060
40293,0.985
40299,1.027
40305,1.027
40307,1.027
40313,1.037
40315,0.999
40321,0.999
40327,1.037
40333,1.013
40339,1.060
40347,1.055
40353,1.037
40355,1.046
40359,1.008
40361,1.046
40365,1.037
40371,1.008
40377,1.037
40379,1.065
40383,1.018
40387,1.013
40399,1.008
40405,1.037
40407,1.037
40409,1.027
40419,1.018
40421,1.032
40425,1.037
40431,1.018
40433,1.037
40437,1.032
40439,1.018
40445,1.018
40451,1.022
40457,1.027
40459,1.051
40475,1.018
40487,1.037
40493,1.041
40495,1.013
40501,1.008
40507,1.032
40513,1.027
40515,0.994
40521,1.055
40525,1.032
40527,1.022
40533,1.027
