Timestamp_ms,Measured_Distance_m
25268,1.013
25274,1.008
25280,0.980
25286,0.994
25292,0.976
25298,0.966
25304,0.985
25310,1.008
25316,0.985
25322,0.976
25328,0.985
25334,0.976
25340,0.994
25346,0.957
25352,0.980
25358,0.994
25364,1.046
25370,0.971
25376,0.985
25382,0.994
25388,0.971
25394,0.994
25400,0.971
25406,0.999
25412,0.966
25418,0.971
25424,0.994
25430,0.985
25436,0.980
25442,0.976
25448,0.994
25454,0.985
25460,0.990
25466,0.971
25472,0.994
25478,0.999
25484,0.976
25490,0.966
25496,1.032
25502,1.013
25508,0.994
25514,0.994
25520,0.999
25526,0.976
25532,0.980
25538,0.971
25544,0.980
25550,0.980
25556,0.957
25562,0.962
25568,0.980
25574,0.976
25580,0.976
25586,0.980
25592,0.980
25598,1.004
25604,0.985
25610,0.962
25616,0.971
25622,0.994
25628,0.980
25634,0.994
25640,0.999
25646,0.980
25652,0.966
25658,0.971
25664,0.966
25670,0.966
25676,0.971
25682,0.966
25688,0.971
25694,0.976
25700,0.990
25706,0.976
25712,0.994
25718,1.022
25724,0.990
25730,0.990
25736,0.994
25742,0.976
25748,0.999
25754,1.037
25760,1.004
25766,0.990
25772,0.971
25778,0.985
25784,0.990
25790,0.999
25796,0.971
25802,0.980
25808,0.976
25814,0.990
25820,0.985
25826,0.994
25832,0.980
25838,0.990
25844,1.008
25850,0.999
25856,1.013
25862,1.008
25868,1.022
25874,1.004
25880,1.004
25886,1.008
25892,0.994
25898,0.994
25904,1.013
25910,0.985
25916,1.018
25922,0.985
25928,0.994
25934,1.022
25940,0.999
25946,1.008
25952,1.008
25958,1.004
25964,1.004
25970,1.018
25976,1.013
25982,1.004
25988,1.004
25994,1.018
26000,1.004
26006,0.990
26012,1.013
26018,1.022
26024,0.999
26030,1.013
26036,1.004
26042,0.999
26048,1.004
26054,1.027
26060,1.013
26066,1.018
26072,1.008
26078,1.018
26084,1.013
26090,0.999
26096,1.032
26102,1.018
26108,1.013
26114,1.008
26120,0.971
26126,1.008
26132,1.004
26138,0.994
26144,1.004
26150,1.008
26156,1.032
26162,1.018
26168,1.018
26174,1.022
26180,1.013
26186,1.018
26192,1.018
26198,1.018
26204,1.013
26210,1.027
26216,1.022
26222,0.999
26228,1.022
26234,1.027
26240,1.032
26246,1.018
26252,1.008
26258,1.032
26264,1.055
26270,1.013
26276,1.022
26282,1.022
26288,1.008
26294,1.051
26300,1.018
26306,1.027
26312,1.018
26318,1.022
26324,1.027
26330,1.018
26336,1.032
26342,1.013
26348,1.046
26354,1.065
26360,1.055
26366,1.022
26372,0.999
26378,1.022
26384,1.018
