File,Target_Distance_m,Target_Hz,Actual_Hz,Avg_Delta_ms,Measured_Mean_m,Error_m,Std_Dev_m,Samples
2m_10.0Hz.csv,2.0,10.0,9.18,108.94,1.8702,-0.1298,0.0397,10000
2m_100.0Hz.csv,2.0,100.0,70.02,14.28,1.9581,-0.0419,0.0896,10000
2m_200.0Hz.csv,2.0,200.0,129.16,7.74,1.9337,-0.0663,0.023,10000
2m_30.0Hz.csv,2.0,30.0,23.26,42.99,1.998,-0.002,0.146,10000
2m_500.0Hz.csv,2.0,500.0,226.91,4.41,1.9493,-0.0507,0.0363,10000
2m_555.0Hz.csv,2.0,555.0,260.22,3.84,1.2791,-0.7209,0.8066,10000
2m_60.0Hz.csv,2.0,60.0,42.05,23.78,1.9298,-0.0702,0.048,10000
